,Title,Published_date,Views,Likes,Comments,published_date,Month
0,How to Approach Applying for a Data Role #shorts,2023-02-08,2086,116,6,2023-02-08,Feb
1,The Hard Reality of Data Science Work #shorts,2023-02-06,3133,194,5,2023-02-06,Feb
2,How Much Money Does a Data Scientist Make? #shorts,2023-02-03,2754,92,3,2023-02-03,Feb
3,These 3 Things Make Data Science Special #shorts,2023-02-01,2426,162,4,2023-02-01,Feb
4,Will Data Science Be Automated? #shorts,2023-01-27,4785,184,6,2023-01-27,Jan
5,Is Data Science A Good Fit For You? #shorts,2023-01-25,4023,173,6,2023-01-25,Jan
6,5 Books I Wish I Read Earlier In My Career,2023-01-23,5991,373,45,2023-01-23,Jan
7,How To Start Working on Data Science Projects (As a Beginner) #shorts,2023-01-19,3545,309,10,2023-01-19,Jan
8,What Data Science Tool Would I Learn First? #shorts,2023-01-17,4652,281,9,2023-01-17,Jan
9,How long does it take to become a Data Scientist? #shorts,2023-01-12,3861,271,6,2023-01-12,Jan
10,Where & how to start your Data Science Journey #shorts,2023-01-09,4506,260,2,2023-01-09,Jan
11,How I Would NOT Learn Data Science in 2023.,2023-01-03,67170,2559,198,2023-01-03,Jan
12,The Greatest Data Science Event You Never Heard Of  [Behind The Scenes],2022-12-14,4190,176,25,2022-12-14,Dec
13,The Essential Programming Concepts For Learning Data Science,2022-11-14,17644,748,46,2022-11-14,Nov
14,The Data Content House: What You Missed,2022-10-07,9805,335,56,2022-10-07,Oct
15,Is Data Science A Good Career?,2022-09-29,45587,1532,118,2022-09-29,Sep
16,IRON ANALYST (Teaser) #shorts,2022-09-27,4900,322,24,2022-09-27,Sep
17,When a New Data Scientist Joins The Team,2022-08-29,15423,699,130,2022-08-29,Aug
18,State of Data Science - Web Data,2022-08-05,10300,361,34,2022-08-05,Aug
19,Data Science Town Hall - State of Data Science,2022-08-04,9830,377,38,2022-08-04,Aug
20,The Programming Roadmap For Data Science,2022-07-29,19508,1050,57,2022-07-29,Jul
21,5 Impactful Data Science Projects For Your Portfolio,2022-06-27,43252,1974,85,2022-06-27,Jun
22,Machine Learning Saves My Baseball Career?,2022-06-10,7151,326,68,2022-06-10,Jun
23,Every Data Scientist... (funny!),2022-05-24,14931,811,145,2022-05-24,May
24,State of Data Science (Town Hall) ft - Data Squad,2022-05-07,15903,428,65,2022-05-07,May
25,Data Science Portfolio Project From Scratch | Building a YouTube Data Dashboard with Streamlit,2022-04-04,42370,1190,81,2022-04-04,Apr
26,Why You Are NOT Landing Data Jobs ... Yet,2022-03-25,18533,803,102,2022-03-25,Mar
27,Data Scientists VS NFT Scam,2022-03-03,4500,187,51,2022-03-03,Mar
28,When a PM Joins the Data Team... (funny!) - Ft @LukeBarousse,2022-02-21,10568,496,144,2022-02-21,Feb
29,What Professional Data Scientists ACTUALLY Do,2022-02-14,86673,3030,183,2022-02-14,Feb
30,Can You Analyze My Data Better Than I Can?,2022-01-31,6625,310,62,2022-01-31,Jan
31,Giving Back to My Most Engaged Subscribers!,2022-01-28,2283,118,89,2022-01-28,Jan
32,How to Make $1 Billion Betting on Horse Racing with Machine Learning,2022-01-24,17746,667,92,2022-01-24,Jan
33,Should You Be Excited About Web 3? (As a Data Scientist),2022-01-17,8562,418,85,2022-01-17,Jan
